station_id,name,lat,lon,precip_mm_2025
US1OHLC0030,PATASKALA 2.1 ENE,40.013,-82.6381,1216.8
US1OHLC0039,PATASKALA 3.2 W,40.0094,-82.7333,827.4
US1OHLC0045,HEATH 0.7 SSW,40.0172,-82.4428,1230.3
US1OHLG0012,LAKEVIEW 0.2 N,40.4911,-83.9253,897.8
US1OHLG0015,BELLEFONTAINE 1.4 NNE,40.3786,-83.7467,881.4
US1OHLK0018,MENTOR 2.1 ESE,41.6779,-81.2971,875.4
US1OHLK0025,WILLOUGHBY 3.2 N,41.6931,-81.4062,916.7
US1OHLR0002,WELLINGTON 5.5 SW,41.1134,-82.3036,978.6
US1OHLR0008,ELYRIA 0.4 SE,41.3763,-82.0992,821.7
US1OHLR0025,NORTH RIDGEVILLE 2.5 NE,41.4155,-81.9844,914.5
US1OHLR0027,VERMILION 1.7 NW,41.4275,-82.3444,935.6
US1OHLR0030,WAKEMAN 6.1 NE,41.3248,-82.3304,1085.4
US1OHLR0032,AVON 1.1 NW,41.4622,-82.0394,1054.1
US1OHLR0036,LORAIN 2.6 NE,41.4676,-82.1481,878.0
US1OHLS0014,OREGON 2.8 SSW,41.6305,-83.4411,677.7
US1OHLS0022,WATERVILLE 2.4 NNE,41.5309,-83.7188,802.3
US1OHLS0023,SWANTON 6.7 NNE,41.671,-83.8354,765.0
US1OHLS0041,TOLEDO 3.9 NW,41.7019,-83.6366,855.0
US1OHLS0044,MAUMEE 0.6 N,41.5831,-83.6513,881.4
US1OHLS0045,TOLEDO 4.5 ESE,41.6368,-83.5023,796.1
US1OHMA0009,LONDON 1.2 N,39.9062,-83.4367,1038.0
US1OHMC0007,MARIA STEIN 3.0 SSW,40.3699,-84.5214,804.0
US1OHMD0001,WADSWORTH 4.7 WNW,41.0428,-81.8193,995.7
US1OHMD0002,BRUNSWICK 0.5 NE,41.2498,-81.8133,1193.4
US1OHMD0010,MEDINA 0.8 ENE,41.1412,-81.8534,1037.2
US1OHMD0016,SPENCER 1.5 E,41.0989,-82.0938,972.1
US1OHMD0019,SEVILLE 0.2 NW,41.0243,-81.8704,914.6
US1OHMD0021,MEDINA 0.4 SSE,41.1308,-81.8644,953.6
US1OHMD0022,HOMERVILLE 0.2 E,41.0269,-82.1226,1021.4
US1OHMG0003,GLOUSTER 5.7 NE,39.5529,-82.0001,1226.1
US1OHMH0010,SALEM 4.5 NE,40.9532,-80.7992,976.4
US1OHMH0011,CANFIELD 0.5 N,41.0364,-80.7659,1037.9
US1OHMH0021,NORTH LIMA 1.9 W,40.9473,-80.6966,1026.0
US1OHMH0026,BELOIT 5.9 NE,40.9883,-80.9333,959.6
US1OHMK0012,NORWICH 1.1 SE,39.9753,-81.7767,1079.2
US1OHMK0013,NEW CONCORD 5.2 SSW,39.9235,-81.7578,972.7
US1OHMM0013,TROY 3.1 S,39.9998,-84.2114,929.8
US1OHMM0014,TIPP CITY 0.6 SE,39.9573,-84.1749,1062.9
US1OHMM0027,WEST MILTON 1.7 NW,39.9708,-84.3483,984.7
US1OHMM0029,PIQUA 1.4 SSW,40.1287,-84.2644,944.6
US1OHMN0003,LOWER SALEM 9.0 ENE,39.5982,-81.2309,1081.0
US1OHMW0004,MOUNT GILEAD 4.9 ESE,40.5143,-82.7556,1006.6
US1OHMW0008,MOUNT GILEAD 0.0 SSE,40.5501,-82.8357,963.0
US1OHMY0005,FARMERSVILLE 1.7 E,39.6807,-84.3954,1125.9
US1OHMY0009,KETTERING 0.2 ESE,39.6949,-84.1464,1161.2
US1OHMY0018,HUBER HEIGHTS 1.8 NNW,39.8795,-84.1278,1140.4
US1OHMY0034,UNION 1.0 WSW,39.8979,-84.3284,1104.7
US1OHMY0039,CENTERVILLE 3.9 S,39.5854,-84.1495,1237.3
US1OHMY0046,MIAMISBURG 1.5 SE,39.6227,-84.2529,996.9
US1OHMY0076,DAYTON 6.0 NNW,39.8593,-84.243,1053.3
US1OHMY0079,CLAYTON 0.6 E,39.8611,-84.3442,961.4
US1OHMY0091,RIVERSIDE 1.9 NW,39.7975,-84.1512,1079.1
US1OHMY0095,HUBER HEIGHTS 2.3 WNW,39.8677,-84.1538,1088.5
US1OHMY0096,CENTERVILLE 0.7 E,39.6394,-84.1273,1000.5
US1OHMY0106,BROOKVILLE 5.0 NNW,39.897,-84.465,986.5
US1OHNB0004,SENECAVILLE 4.0 SE,39.8915,-81.4098,1092.4
US1OHOT0004,PUT-IN-BAY 1.1 SSW,41.639,-82.8248,833.1
US1OHOT0009,PORT CLINTON 6.8 W,41.5239,-83.0683,836.6
US1OHOT0011,OAK HARBOR 0.4 W,41.5108,-83.1551,1047.4
US1OHPB0001,EATON 1.0 N,39.7647,-84.6338,1040.2
US1OHPC0007,CIRCLEVILLE 1.5 NE,39.6193,-82.924,944.2
US1OHPC0010,ASHVILLE 4.9 W,39.7215,-83.0477,1045.9
US1OHPK0002,WAVERLY 4.2 NE,39.1735,-82.9349,894.6
US1OHPN0010,OTTAWA 1.0 N,41.0356,-84.0432,806.3
US1OHPN0014,LEIPSIC 5.4 W,41.1081,-84.0883,779.7
US1OHPT0002,RAVENNA 0.5 E,41.1599,-81.2321,1090.3
US1OHPT0009,HIRAM 0.4 N,41.316,-81.1434,1315.0
US1OHPT0010,KENT 3.6 NE,41.2008,-81.3389,936.2
